entry,school,category,castUI,dispel,mechanic,attributes,attributesEx,attributesEx2,attributesEx3,attributesEx4,stances,stancesNot,targets,targetCreatureType,requiresSpellFocus,casterAuraState,targetAuraState,castingTimeIndex,recoveryTime,categoryRecoveryTime,interruptFlags,auraInterruptFlags,channelInterruptFlags,procFlags,procChance,procCharges,maxLevel,baseLevel,spellLevel,durationIndex,powerType,manaCost,manCostPerLevel,manaPerSecond,manaPerSecondPerLevel,rangeIndex,speed,modelNextSpell,stackAmount,totem1,totem2,reagent1,reagent2,reagent3,reagent4,reagent5,reagent6,reagent7,reagent8,reagentCount1,reagentCount2,reagentCount3,reagentCount4,reagentCount5,reagentCount6,reagentCount7,reagentCount8,equippedItemClass,equippedItemSubClassMask,equippedItemInventoryTypeMask,effect1,effect2,effect3,effectDieSides1,effectDieSides2,effectDieSides3,effectBaseDice1,effectBaseDice2,effectBaseDice3,effectDicePerLevel1,effectDicePerLevel2,effectDicePerLevel3,effectRealPointsPerLevel1,effectRealPointsPerLevel2,effectRealPointsPerLevel3,effectBasePoints1,effectBasePoints2,effectBasePoints3,effectBonusCoefficient1,effectBonusCoefficient2,effectBonusCoefficient3,effectMechanic1,effectMechanic2,effectMechanic3,effectImplicitTargetA1,effectImplicitTargetA2,effectImplicitTargetA3,effectImplicitTargetB1,effectImplicitTargetB2,effectImplicitTargetB3,effectRadiusIndex1,effectRadiusIndex2,effectRadiusIndex3,effectApplyAuraName1,effectApplyAuraName2,effectApplyAuraName3,effectAmplitude1,effectAmplitude2,effectAmplitude3,effectMultipleValue1,effectMultipleValue2,effectMultipleValue3,effectChainTarget1,effectChainTarget2,effectChainTarget3,effectItemType1,effectItemType2,effectItemType3,effectMiscValue1,effectMiscValue2,effectMiscValue3,effectTriggerSpell1,effectTriggerSpell2,effectTriggerSpell3,effectPointsPerComboPoint1,effectPointsPerComboPoint2,effectPointsPerComboPoint3,spellVisual1,spellVisual2,spellIconId,activeIconId,spellPriority,name,nameFlags,nameSubtext,nameSubtextFlags,description,descriptionFlags,auraDescription,auraDescriptionFlags,manaCostPercentage,startRecoveryCategory,startRecoveryTime,minTargetLevel,maxTargetLevel,spellFamilyName,spellFamilyFlags,maxAffectedTargets,dmgClass,preventionType,stanceBarOrder,dmgMultiplier1,dmgMultiplier2,dmgMultiplier3,minFactionId,minReputation,requiredAuraVision,customFlags
32,0,0,0,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,850,0,497,0,0,Illusion: Amberleaf Dryad,4128894,Toy,4128892,You're not who you appear to be.,4128892,"Ah, the great outdoors!",4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
36,0,0,0,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,850,0,497,0,0,Illusion: Lunar Dryad,4128894,Toy,4128892,You're not who you appear to be.,4128892,"Ah, the great outdoors!",4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
37,0,0,0,0,0,65568,0,0,0,0,0,0,0,0,0,0,0,39,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15407,12810,7081,7082,5117,4480,14341,0,6,12,20,8,15,10,4,0,-1,0,0,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55043,0,0,0,0,0,0,0,0,0,0,0,4439,0,1,0,0,Harness of the High Thane,4128894,,4128876,,4128876,,4128876,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
38,0,0,0,0,0,262400,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,108,0,1,0,0,Formula: Enchant Bracer - Agility,4128894,,4128892,Teaches you how to permanently enchant a bracer to give +5 Agility.,4128894,,4128892,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14,0,0,15,0,0,0,101,0,0,25,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,1050016,53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,3326,0,1,0,0,Dragonmaw Armor Kit,4128894,,8323196,"Permanently increase the spell power value of an item worn on the chest, legs, hands or feet by 5. Only usable on items level 25 and above.",4128894,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,64,53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,0,0,0,0,0,0,0,0,215,0,1,0,0,Gold Belt Buckle,4128894,,8323196,Attaches a buckle to your belt that increases your Ranged Attack Power by 14.,4128894,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,64,53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160,0,0,0,0,0,0,0,0,215,0,1,0,0,Dragonscale Belt Buckle,4128894,,8323196,Attaches a buckle to your belt that increases your Fire Spell Damage by 9.,4128894,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
42,0,0,0,0,0,262400,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,108,0,1,0,0,Pattern: Dragonmaw Armor Kit,4128894,,4128892,Teaches you how to createan Dragonmaw Armor Kit.,4128894,,4128892,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,0,0,0,0
44,0,0,3,0,0,65536,0,0,0,0,0,0,16,0,0,0,0,6,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11130,0,11134,7067,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,30,512,53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,0,0,0,0,0,0,0,3182,0,241,0,0,Enchant Bracer - Agility,4128894,,4128892,Permanently enchant bracers to grant +5 Agility.,4128894,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
46,0,0,0,0,0,262400,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,108,0,1,0,0,Formula: Enchant Boots - Lesser Intellect,4128894,,4128892,Teaches you how to permanentl enchant boots to give +3 Intellect.,4128894,,4128892,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,0,0,0,0
48,0,0,3,0,0,65536,0,0,0,0,0,0,16,0,0,0,0,6,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11130,0,11083,11137,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,30,256,53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,0,0,0,0,0,0,0,0,3182,0,241,0,0,Enchant Boots - Lesser Intellect,4128894,,8323196,Permanently enchant boots to give +3 Intellect.,4128894,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
51,0,0,0,0,21,269582608,0,0,0,0,0,0,0,0,0,0,0,14,0,0,31,0,0,0,101,0,0,0,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,6,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,99,0,0,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,78,32,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1706,0,1241,122,0,Stormwrought Deathsteed,16712190,,16712190,"The mount of a fallen Death Knight, risen once more in the mists of Balor.",16712190,Speed scales with your Riding skill.,16712190,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,64,53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,0,0,0,0,0,0,0,0,215,0,1,0,0,Dark Iron Belt Buckle,4128894,,8323196,Attaches a buckle to your belt that increases your Fire Resistance by 10.,4128894,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,64,53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,215,0,1,0,0,Enchanted Thorium Belt Buckle,4128894,,8323196,Attaches a buckle to your belt that increases your Arcane Resistance by 10.,4128894,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
55,0,0,0,0,0,65568,0,0,0,0,0,0,0,0,0,0,0,37,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7287,6371,2321,0,0,0,0,0,5,1,2,0,0,0,0,0,-1,0,0,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,4439,0,1,0,0,Dragonmaw Armor Kit,4128894,,4128892,"Permanently increase the intellect by 8 and spell power by 6 of an item worn on the chest, legs, hands or feet.  Only usable on items level 60 and above.",4128892,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
57,0,0,0,0,0,65584,0,0,0,0,0,0,0,0,1,0,0,38,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5956,0,3859,7071,7966,0,0,0,0,0,8,1,1,0,0,0,0,0,-1,0,0,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,395,0,1,0,0,Steel Belt Buckle,4128894,,4128892,,4128894,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
62,0,0,0,0,0,262400,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,222,0,1,0,0,Plans: Steel Belt Buckle,4128894,,4128892,Teaches you how to create Steel Belt Buckle.,4128894,,4128892,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,0,0,0,0
63,0,0,0,0,0,262400,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,222,0,1,0,0,Plans: Gold Belt Buckle,4128894,,4128892,Teaches you how to create Gold Belt Buckle.,4128894,,4128892,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,0,0,0,0
64,0,0,0,0,0,262400,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,108,0,1,0,0,Pattern: Dragonmaw Gloves,8323198,,8323196,Teaches you how to craft Dragonmaw Gloves.,8323198,,4128892,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,0,0,0,0
69,0,0,0,0,0,65584,0,0,0,0,0,0,0,0,1,0,0,38,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5956,0,3577,7071,3486,0,0,0,0,0,8,1,2,0,0,0,0,0,-1,0,0,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,395,0,1,0,0,Gold Belt Buckle,4128894,,4128892,,4128894,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
70,0,0,0,0,0,65568,0,0,0,0,0,0,0,0,0,0,0,38,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4234,7287,4236,5637,4402,55249,0,0,14,4,2,2,2,2,0,0,-1,0,0,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58112,0,0,0,0,0,0,0,0,0,0,0,4439,0,1,0,0,Dragonmaw Gloves,8323198,,8323196,,8323196,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,64,53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,215,0,1,0,0,Obsidian Belt Buckle,4128894,,8323196,Attaches a buckle to your belt that increases your Strength by 10.,4128894,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
74,0,0,0,0,0,65584,0,0,0,0,0,0,0,0,1,0,0,38,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5956,0,12359,7071,8165,7966,0,0,0,0,4,1,14,1,0,0,0,0,-1,0,0,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,395,0,1,0,0,Dragonscale Belt Buckle,4128894,,4128892,,4128894,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
